Table with row headers in column A and column headers in rows 12 through 14,,,,,,,,,,,
"PINC-03. Educational Attainment--People 25 Years Old and Over, by Total Money Earnings in 2018, Work Experience in 2018, Age, Race, Hispanic Origin, and Sex",,,,,,,,,,,
"Data reflect the implementation of an updated processing system that incorporates content from earlier questionnaire redesigns related to income, health insurance, and demographics.",,,,,,,,,,,
"For information on confidentiality protection, sampling error, nonsampling error, and definitions, see <www2.census.gov/programs-surveys/cps/techdocs/cpsmar19.pdf>.",,,,,,,,,,,
"Source: U.S. Census Bureau, Current Population Survey, 2019 Annual Social and Economic Supplement.",,,,,,,,,,,
"(Numbers in thousands. People 25 Years Old and Over as of March of the following year. A.O.I.C. stands for alone or in combination.  Median income is calculated using $2,500 income intervals.",,,,,,,,,,,
"The Gini index is calculated using micro-sorted data.  Medians falling in the upper open-ended interval are plugged with ""$250,000"".  Standard errors calculated using replicate weights)",,,,,,,,,,,
Both Sexes,,,,,,,,,,,
25 Years and Over,,,,,,,,,,,
Total Work Experience,,,,,,,,,,,
All Races,,,,,,,,,,,
Characteristic,Total,Less Than 9th Grade,High School,,College,,,,,,
,,,,,Some College No Degree,Associate Degree,Bachelor's Degree or more,,,,
,,,9th to 12th Nongrad,Graduate (Incl GED),,,Total,Bachelor's Degree,Master's Degree,Professional Degree,Doctorate Degree
....Total,"221,478","8,603","13,372","62,259","34,690","22,738","79,816","49,937","22,214","3,136","4,529"
Without Earnings,"75,705","4,829","7,090","25,591","12,173","6,566","19,457","12,488","5,431",616,923
With Earnings,"145,773","3,774","6,282","36,668","22,517","16,173","60,359","37,449","16,784","2,521","3,606"
"..$1 to $2,499 or loss","2,940",115,190,775,607,287,966,613,289,21,44
"..$2,500 to $4,999","2,211",97,201,641,399,241,632,459,138,13,22
"..$5,000 to $7,499","3,077",109,245,900,556,334,933,608,265,16,44
"..$7,500 to $9,999","2,265",106,220,776,375,224,565,371,158,11,25
"..$10,000 to $12,499","4,450",185,396,"1,536",826,528,979,688,236,22,32
"..$12,500 to $14,999","2,119",127,209,711,362,206,502,364,113,18,8
"..$15,000 to $17,499","4,364",273,433,"1,407",809,435,"1,007",750,203,12,42
"..$17,500 to $19,999","3,201",196,339,"1,122",612,366,567,411,118,17,21
"..$20,000 to $22,499","6,588",447,579,"2,321","1,093",733,"1,415",963,341,46,65
"..$22,500 to $24,999","3,387",194,280,"1,093",688,429,702,535,136,10,22
"..$25,000 to $27,499","6,592",292,450,"2,331","1,218",799,"1,502","1,130",290,31,49
"..$27,500 to $29,999","2,838",134,160,"1,116",466,379,583,410,148,11,14
"..$30,000 to $32,499","8,375",331,468,"2,872","1,616","1,026","2,063","1,592",370,34,66
"..$32,500 to $34,999","2,067",58,82,718,385,313,510,386,103,5,16
"..$35,000 to $37,499","6,789",239,385,"2,237","1,187",763,"1,979","1,487",391,55,46
"..$37,500 to $39,999","2,638",79,111,889,483,344,732,562,145,6,20
"..$40,000 to $42,499","7,296",156,335,"2,235","1,190",929,"2,451","1,716",573,60,102
"..$42,500 to $44,999","1,716",30,48,488,300,224,627,448,166,6,8
"..$45,000 to $47,499","5,069",76,153,"1,430",884,692,"1,835","1,269",491,29,46
"..$47,500 to $49,999","2,375",47,70,589,445,297,927,651,222,13,41
"..$50,000 to $52,499","7,741",149,247,"1,985","1,307","1,018","3,035","1,918",914,93,110
"..$52,500 to $54,999","1,516",13,37,306,262,181,717,441,251,15,11
"..$55,000 to $57,499","3,877",41,88,852,572,541,"1,783","1,132",533,49,69
"..$57,500 to $59,999","1,412",12,23,229,281,207,660,436,189,14,21
"..$60,000 to $62,499","6,143",74,127,"1,342",892,779,"2,930","1,922",777,97,133
"..$62,500 to $64,999","1,026",8,27,197,169,120,505,284,180,10,30
"..$65,000 to $67,499","3,111",21,28,674,427,409,"1,552","1,004",461,23,64
"..$67,500 to $69,999","1,055",11,9,228,146,148,513,340,134,11,29
"..$70,000 to $72,499","3,720",21,46,678,525,451,"1,999","1,230",609,75,85
"..$72,500 to $74,999",716,4,3,124,82,85,418,232,151,12,24
"..$75,000 to $77,499","3,029",24,45,527,358,321,"1,755","1,126",432,84,113
"..$77,500 to $79,999",891,9,19,141,135,127,460,307,121,15,17
"..$80,000 to $82,499","3,334",14,56,550,432,390,"1,893","1,111",587,72,123
"..$82,500 to $84,999",607,0,1,134,91,52,328,146,141,13,27
"..$85,000 to $87,499","1,951",3,13,249,238,180,"1,268",745,405,52,65
"..$87,500 to $89,999",449,0,9,52,65,49,274,139,99,4,33
"..$90,000 to $92,499","2,164",7,13,214,235,196,"1,498",812,517,34,135
"..$92,500 to $94,999",457,0,12,61,44,33,307,190,96,4,18
"..$95,000 to $97,499","1,150",6,12,126,129,97,780,451,250,21,58
"..$97,500 to $99,999",561,2,8,94,78,46,332,185,120,12,15
"..$100,000 and over","20,508",66,102,"1,717","1,551","1,198","15,875","7,885","4,924","1,375","1,692"
Median earnings (dollars),"44,963","25,318","25,280","35,016","37,811","41,834","62,140","57,105","70,241","104,593","92,126"
..Standard error (dollars),410,402,345,376,600,271,181,373,672,"5,439","2,250"
Mean earnings (dollars),"60,131","29,210","30,612","41,829","46,806","49,966","83,949","73,880","87,570","150,215","125,331"
..Standard error (dollars) ,370,666,683,439,635,729,719,731,"1,116","4,743","3,534"
Gini ratio,0.458,0.365,0.405,0.398,0.413,0.389,0.442,0.432,0.415,0.46,0.443
..Standard error,0.0025,0.0098,0.011,0.0051,0.0062,0.0082,0.0037,0.0046,0.0062,0.0107,0.0106
"For more information on the updated processing system, see <www.census.gov/data/datasets/time-series/demo/income-poverty/cps-asec-design.html>.",,,,,,,,,,,
